File,codigo_web_1.100.0.26245.txt,vscode_web_1.128.0-exploration.txt,vscode_web_1.135.0.txt,vscode_web_1.136.0-insider.txt
extensions/markdown-language-features/markdown-editor-out/treemap-WGGIJYW6-NFXJPDAT.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/vennDiagram-4TSXK5OY-PNMXQJF6.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/vennDiagram-CIIHVFJN-OQOT3U3U.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/wardley-L42UT6IY-BAMABOAY.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/wardley-WFR3VGLG-MQ6DEZYA.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/wardleyDiagram-VM6X3IG4-46KJTB57.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/wardleyDiagram-YWT4CUSO-A7TZPALT.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/xychartDiagram-2RQKCTM6-QOAA6ZSJ.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/xychartDiagram-S5SC5T6Z-NSN5W7VL.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-src/linkPresentationProvider.ts,Y,,Y,Y
extensions/markdown-language-features/scripts/updateMarkdownEditorPackageJson.mts,Y,,Y,Y
extensions/markdown-language-features/scripts/updateMarkdownEditorPackageJson.test.mts,Y,,Y,Y
extensions/markdown-math/dist/extension.js,,Y,Y,Y
extensions/media-preview/dist/extension.js,,Y,Y,Y
extensions/merge-conflict/dist/mergeConflictMain.js,,Y,Y,Y
extensions/mermaid-markdown-features/dist/extension.js,,Y,Y,Y
extensions/npm/dist/npmMain.js,,Y,Y,Y
extensions/references-view/dist/extension.js,,Y,Y,Y
extensions/search-result/dist/extension.js,,Y,Y,Y
extensions/simple-browser/dist/extension.js,,Y,Y,Y
extensions/theme-defaults/themes/dark-colorblind.json,Y,,,
extensions/theme-defaults/themes/light-colorblind.json,Y,,,
extensions/theme-modern-icons/README.md,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/file.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/folder-open.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/folder.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/frame.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/fsharp.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/git.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/github.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/gitignore.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/gitlab.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/go2.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/go_3.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/godot.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/gradle.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/grails.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/graphql.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/grunt.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/gulp.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/hacklang.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/haml.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/happenings.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/haskell.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/haxe.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/heroku.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/hex.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/html.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/htmlerb.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/ignored.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/illustrator.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/image.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/info.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/ionic.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/jade.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/java.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/javascript.svg,Y,,Y,Y
